source_path,target_path,verification_mode
Literature-Review/EU Publications Office - 2024 - Critical Raw Materials Act.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/EU Publications Office - 2024 - Critical Raw Materials Act.pdf,hash
Literature-Review/Fastmarkets - 2024 - Copper Cathode Premium Methodology and Price Specifications.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/Fastmarkets - 2024 - Copper Cathode Premium Methodology and Price Specifications.pdf,hash
Literature-Review/Fastmarkets - 2025 - Copper Concentrates Index Methodology and Price Specifications.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/Fastmarkets - 2025 - Copper Concentrates Index Methodology and Price Specifications.pdf,hash
Literature-Review/Jadoun et al. - 2025 - Recovery of Metals from E-waste Facts Methods Challenges Case Studies and Sustainable Solutions.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/Jadoun et al. - 2025 - Recovery of Metals from E-waste Facts Methods Challenges Case Studies and Sustainable Solutions.pdf,hash
Literature-Review/Lane et al. - 2016 - Selective Leaching of Penalty Elements from Copper Concentrates A Review.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/Lane et al. - 2016 - Selective Leaching of Penalty Elements from Copper Concentrates A Review.pdf,hash
Literature-Review/S&P Global - 2026 - Copper in the Age of AI Challenges of Electrification.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/S&P Global - 2026 - Copper in the Age of AI Challenges of Electrification.pdf,hash
Literature-Review/S&P Global - 2026 - The Copper Conundrum Why Meeting AI-Era Electrification Demands Is a Race Against Time.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/S&P Global - 2026 - The Copper Conundrum Why Meeting AI-Era Electrification Demands Is a Race Against Time.pdf,hash
Literature-Review/Torrubia et al. - 2024 - Recovery of Copper from Electronic Waste An Energy Transition Approach to Decarbonise the Industry.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/Torrubia et al. - 2024 - Recovery of Copper from Electronic Waste An Energy Transition Approach to Decarbonise the Industry.pdf,hash
Literature-Review/USGS - 2026 - Mineral Commodity Summaries.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/USGS - 2026 - Mineral Commodity Summaries.pdf,hash
Literature-Review/WRITEUP.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/WRITEUP.pdf,hash
Literature-Review/Wood Mackenzie - 2025 - High-wire Act Is Soaring Copper Demand an Obstacle to Future Growth.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/Wood Mackenzie - 2025 - High-wire Act Is Soaring Copper Demand an Obstacle to Future Growth.pdf,hash
Literature-Review/Wu et al. - 2025 - Scaling Bioleaching from Lab to Industry A Life Cycle Assessment of Cathode Copper Production.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/Wu et al. - 2025 - Scaling Bioleaching from Lab to Industry A Life Cycle Assessment of Cathode Copper Production.pdf,hash
Literature-Review/Yang et al. - 2024 - Towards Resource Regeneration A Focus on Copper Recovery from Electronic Waste.pdf,Literature-Review/landscape-briefing/topic01_copper/refs/Yang et al. - 2024 - Towards Resource Regeneration A Focus on Copper Recovery from Electronic Waste.pdf,hash
