topic_id,topic_name,tier,ordinal_rank,export_signal,geopolitical_signal,readiness_signal,adjacency_signal,constraint_summary,core_or_watchlist,justification,confidence
CRM020,"Titanium metal and powders (aerospace, defence, additive manufacturing)","Tier 3",46,medium,high,low,medium,"Long qualification and process complexity",Watchlist,"High-value market with slow and demanding entry pathway",medium
CRM038,"Indium recovery and refining (byproduct-led strategy)","Tier 3",47,low,high,low,medium,"Limited byproduct scale and concentrated demand",Watchlist,"Strategic relevance remains but practical scale is constrained",low
CRM042,"Bismuth refining and compounds (byproduct)","Tier 3",48,low,medium,low,medium,"Small market size and byproduct dependence",Watchlist,"Niche opportunity with lower portfolio impact",low
CRM050,"Regional recycling hub services model (contracting, logistics, QA, compliance)","Tier 3",49,low,medium,medium,medium,"Contract aggregation and margin pressure",Watchlist,"Supportive circular service model with modest direct leverage",medium
CRM051,"Battery separator materials (specialty polymers)","Tier 3",50,medium,high,low,low,"Incumbent lock-in and high qualification barriers",Watchlist,"Strategic relevance is high but entry risk is significant",low
CRM052,"Battery binder materials (PVDF and alternatives)","Tier 3",51,medium,high,low,low,"Complex chemistry scale-up and customer qualification",Watchlist,"Potential upside but low readiness for near-term scale",low
CRM053,"Electrolyte solvents (DMC, EMC, DEC) and additive packages","Tier 3",52,medium,high,low,low,"Chemical integration complexity and standards compliance",Watchlist,"Qualification-driven market with slower pathway to competitiveness",low
CRM054,"Electrolyte formulation and qualification capability (OEM-facing)","Tier 3",53,low,high,low,medium,"OEM integration and test-cycle length",Watchlist,"Important capability play but indirect and slower monetisation",low
CRM055,"Anode and cathode precursor supply chain QA and metrology (reference materials, test protocols)","Tier 3",54,low,medium,medium,medium,"Adoption pace and standards convergence",Watchlist,"Useful trust infrastructure with limited near-term export scale",medium
CRM033,"Strategic reserves and stockpile services (governance, storage, QA, financing)","Tier 3",55,low,medium,medium,medium,"Policy design and inventory carrying cost",Watchlist,"Strategic resilience function with weak direct export upside",medium
CRM057,"Commodity finance and project finance capability packaged for green metals","Tier 3",56,low,medium,medium,high,"Capital market depth and policy certainty",Watchlist,"Important support capability but indirect export impact",medium
CRM058,"Subsea and cryogenic logistics supply chain (CO2, hydrogen carriers, ammonia terminals) leveraging LNG adjacency","Tier 3",57,medium,medium,low,medium,"Very high capex and demand timing uncertainty",Watchlist,"Strong adjacency exists but sequencing and economics remain uncertain",medium
CRM059,"Industrial gases expansion tied to hubs (oxygen, nitrogen, argon; cryogenics)","Tier 3",58,low,low,high,high,"Demand depends on hub build-out sequence",Watchlist,"Critical enabler but not a primary export thesis",high
CRM007,"Uranium value lift toward fuel-cycle services via partnerships (policy-gated)","Tier 3",59,high,high,low,medium,"Domestic policy gate on fuel-cycle participation",Watchlist,"High strategic upside but policy settings currently cap near-term ranking",high
CRM060,"Industrial water as a gating enabler for hubs (constraint item, not export thesis)","Tier 3",60,low,low,high,high,"Water availability, permitting, and desalination cost",Watchlist,"Essential site constraint and not a standalone export priority",high
