topic_id,topic_name,cluster,subcluster,is_export_thesis,is_enabler_only,deemphasised_flag,byproduct_flag,policy_gate_flag,notes
CRM046,"High-performance carbon materials (synthetic graphite, needle coke, carbon fibres)","D Minor metals and byproducts","Advanced carbon",yes,no,no,no,no,"Strategic potential with high technology and cost barriers"
CRM047,"Advanced refractories and furnace consumables (green iron, copper, alumina enablement)","D Minor metals and byproducts","Refractories",yes,no,no,no,no,"Enables anchor processes with moderate export upside"
CRM048,"Battery recycling and urban mining (domestic loop plus regional feedstock)","E Circular and regional hubs","Battery recycling",yes,no,no,no,no,"Exportable if linked to regional feedstock and recovered products"
CRM049,"Black mass import processing hub for Asia-Pacific","E Circular and regional hubs","Black mass processing",yes,no,no,no,no,"Regional feedstock model can create processing scale quickly"
CRM050,"Regional recycling hub services model (contracting, logistics, QA, compliance)","E Circular and regional hubs","Recycling services",yes,no,no,no,no,"Service-led model depends on long-term contract aggregation"
CRM051,"Battery separator materials (specialty polymers)","F Qualification-driven battery ecosystem","Separators",yes,no,no,no,no,"High qualification and incumbent competition barriers"
CRM052,"Battery binder materials (PVDF and alternatives)","F Qualification-driven battery ecosystem","Binders",yes,no,no,no,no,"Strategic relevance but complex chemistry and qualification curve"
CRM053,"Electrolyte solvents (DMC, EMC, DEC) and additive packages","F Qualification-driven battery ecosystem","Electrolyte chemicals",yes,no,no,no,no,"Requires deep chemical integration and qualified offtake"
CRM054,"Electrolyte formulation and qualification capability (OEM-facing)","F Qualification-driven battery ecosystem","Electrolyte qualification",yes,no,no,no,no,"Capability play with slower commercialisation"
CRM055,"Anode and cathode precursor supply chain QA and metrology (reference materials, test protocols)","F Qualification-driven battery ecosystem","Battery QA and metrology",yes,no,no,no,no,"Valuable trust layer but indirect revenue path"
CRM056,"Precision metallurgical testing, certification labs, and reference material production","G Hub capability exports","Testing and certification",yes,no,no,no,no,"Fast build adjacency and exportable services capability"
CRM057,"Commodity finance and project finance capability packaged for green metals","G Hub capability exports","Finance capability",yes,no,no,no,no,"Can unlock projects but depends on market and policy certainty"
CRM058,"Subsea and cryogenic logistics supply chain (CO2, hydrogen carriers, ammonia terminals) leveraging LNG adjacency","G Hub capability exports","Cryogenic logistics",yes,no,no,no,no,"Strong adjacency but large capex and sequencing risk"
CRM059,"Industrial gases expansion tied to hubs (oxygen, nitrogen, argon; cryogenics)","G Hub capability exports","Industrial gases",no,yes,no,no,no,"Essential operating enabler with moderate standalone export value"
CRM060,"Industrial water as a gating enabler for hubs (constraint item, not export thesis)","G Hub capability exports","Water and desalination",no,yes,yes,no,no,"Retained as build constraint and site selection condition"
